store_name,medicine_name,date,current_stock,daily_demand,expiry_days_left,season,category,demand_trend,lead_time_days,unit_price,reorder_fee,distance_from_distributor_miles
Store A,Amlodipine_5mg,2024-03-09,152,9,213,summer,Cardiovascular,stable,5,29.34,21.55,9
Store A,Amoxicillin_500mg,2024-01-03,83,14,230,winter,Antibiotic,stable,5,21.19,14.67,9
Store A,Aspirin_75mg,2024-01-17,227,16,195,winter,Cardiovascular,decreasing,4,30.38,22.91,9
Store A,Cetirizine_10mg,2024-03-23,186,22,329,summer,Allergy,increasing,3,14.44,13.74,9
Store A,Ibuprofen_400mg,2024-03-10,175,24,128,summer,Pain Relief,stable,3,15.35,14.27,9
Store A,Insulin_100units,2024-02-04,98,18,149,winter,Diabetes,decreasing,2,29.29,23.76,9
Store A,Levothyroxine_50mcg,2024-03-07,123,38,133,summer,Thyroid,stable,5,11.45,17.23,9
Store A,Losartan_50mg,2024-03-11,110,27,164,summer,Cardiovascular,stable,5,28.98,21.88,9
Store A,Paracetamol_500mg,2024-01-07,278,14,59,winter,Pain Relief,stable,3,12.97,13.62,9
Store A,Ranitidine_150mg,2024-01-10,81,13,73,winter,Gastro,stable,4,13.45,14.37,9
Store A,Ranitidine_150mg,2024-01-12,56,13,71,winter,Gastro,stable,4,13.45,14.37,9
Store A,Warfarin_5mg,2024-02-24,467,32,251,winter,Cardiovascular,stable,7,30.80,19.22,9
Store B,Amlodipine_5mg,2024-03-13,353,39,232,summer,Cardiovascular,increasing,5,29.34,21.55,16
Store B,Aspirin_75mg,2024-01-16,112,36,315,winter,Cardiovascular,stable,4,30.38,22.91,16
Store B,Cetirizine_10mg,2024-03-29,318,19,290,summer,Allergy,increasing,3,14.44,13.74,16
Store B,Nitroglycerin_0.4mg,2024-01-16,339,39,330,winter,Emergency,stable,1,50.84,32.86,16
Store C,Atorvastatin_20mg,2024-01-23,437,16,331,winter,Cardiovascular,decreasing,5,22.30,24.10,92
Store C,Azithromycin_250mg,2024-03-20,83,28,160,summer,Antibiotic,stable,5,18.67,15.06,92
Store C,Azithromycin_250mg,2024-03-23,367,36,256,summer,Antibiotic,increasing,5,18.67,15.06,92
Store C,Cetirizine_10mg,2024-01-14,160,21,226,winter,Allergy,stable,3,14.44,13.74,92
Store C,Cetirizine_10mg,2024-02-16,118,18,308,winter,Allergy,decreasing,3,14.44,13.74,92
Store C,Insulin_100units,2024-03-02,468,31,229,summer,Diabetes,decreasing,2,29.29,23.76,92
Store C,Losartan_50mg,2024-03-07,279,30,214,summer,Cardiovascular,stable,5,28.98,21.88,92
Store C,Montelukast_10mg,2024-02-27,69,57,250,winter,Respiratory,increasing,5,25.07,16.53,92
Store C,Montelukast_10mg,2024-03-17,497,32,245,summer,Respiratory,increasing,5,25.07,16.53,92
Store C,Ranitidine_150mg,2024-02-11,224,13,309,winter,Gastro,stable,4,13.45,14.37,92
Store C,Ranitidine_150mg,2024-03-18,213,13,264,summer,Gastro,stable,4,13.45,14.37,92
Store D,Albuterol_100mcg,2024-01-03,121,58,263,winter,Respiratory,increasing,2,26.64,22.70,156
Store D,Amoxicillin_500mg,2024-01-22,57,25,338,winter,Antibiotic,stable,5,21.19,14.67,156
Store D,Atorvastatin_20mg,2024-01-29,415,11,348,winter,Cardiovascular,decreasing,5,22.30,24.10,156
Store D,Azithromycin_250mg,2024-03-18,62,29,307,summer,Antibiotic,increasing,5,18.67,15.06,156
Store D,Cetirizine_10mg,2024-03-26,223,29,174,summer,Allergy,increasing,3,14.44,13.74,156
Store D,Gabapentin_300mg,2024-01-05,0,35,101,winter,Neurological,decreasing,6,29.27,24.40,156
Store D,Metformin_500mg,2024-02-22,357,9,135,winter,Diabetes,decreasing,5,33.04,23.75,156
Store D,Montelukast_10mg,2024-03-24,192,19,147,summer,Respiratory,increasing,5,25.07,16.53,156
Store D,Montelukast_10mg,2024-03-30,96,15,141,summer,Respiratory,decreasing,5,25.07,16.53,156
Store D,Morphine_10mg,2024-02-17,157,36,187,winter,Pain Relief,increasing,7,8.29,11.87,156
Store D,Paracetamol_500mg,2024-01-27,481,34,311,winter,Pain Relief,increasing,3,12.97,13.62,156
Store D,Prednisone_10mg,2024-03-12,90,44,148,summer,Immunology,increasing,5,35.67,26.70,156
Store D,Sertraline_50mg,2024-01-10,225,8,137,winter,Psychiatric,decreasing,5,40.29,30.23,156
Store D,Warfarin_5mg,2024-01-14,324,15,197,winter,Cardiovascular,decreasing,7,30.80,19.22,156
Store E,Amlodipine_5mg,2024-02-10,138,28,182,winter,Cardiovascular,decreasing,5,29.34,21.55,109
Store E,Aspirin_75mg,2024-01-20,350,34,215,winter,Cardiovascular,stable,4,30.38,22.91,109
Store E,Gabapentin_300mg,2024-02-05,398,38,262,winter,Neurological,stable,6,29.27,24.40,109
Store E,Gabapentin_300mg,2024-03-27,219,34,183,summer,Neurological,decreasing,6,29.27,24.40,109
Store E,Levothyroxine_50mcg,2024-01-27,258,29,209,winter,Thyroid,increasing,5,11.45,17.23,109
Store E,Levothyroxine_50mcg,2024-03-15,368,27,311,summer,Thyroid,stable,5,11.45,17.23,109
Store E,Metformin_500mg,2024-01-22,115,14,317,winter,Diabetes,decreasing,5,33.04,23.75,109
Store E,Prednisone_10mg,2024-02-01,454,13,212,winter,Immunology,stable,5,35.67,26.70,109
Store E,Tacrolimus_1mg,2024-02-05,476,36,143,winter,Immunology,stable,7,36.35,24.07,109
