store_name,medicine_name,date,current_stock,daily_demand,expiry_days_left,season,category,demand_trend,lead_time_days,unit_price,reorder_fee,distance_from_distributor_miles
Store A,Albuterol_100mcg,2024-02-04,32,17,41,winter,Respiratory,stable,2,26.64,22.70,9
Store A,Albuterol_100mcg,2024-02-10,103,17,186,summer,Respiratory,stable,2,26.64,22.70,9
Store A,Albuterol_100mcg,2024-02-18,325,23,351,winter,Respiratory,decreasing,2,26.64,22.70,9
Store A,Albuterol_100mcg,2024-02-28,115,21,19,summer,Respiratory,stable,2,26.64,22.70,9
Store A,Albuterol_100mcg,2024-02-28,76,22,116,winter,Respiratory,increasing,2,26.64,22.70,9
Store A,Amlodipine_5mg,2024-02-08,264,36,94,summer,Cardiovascular,stable,5,29.34,21.55,9
Store A,Amlodipine_5mg,2024-02-18,619,36,355,winter,Cardiovascular,stable,5,29.34,21.55,9
Store A,Amlodipine_5mg,2024-02-22,358,41,22,summer,Cardiovascular,stable,5,29.34,21.55,9
Store A,Amlodipine_5mg,2024-02-29,118,42,47,winter,Cardiovascular,increasing,5,29.34,21.55,9
Store A,Amlodipine_5mg,2024-03-11,89,46,33,summer,Cardiovascular,increasing,5,29.34,21.55,9
Store A,Aspirin_75mg,2024-01-12,133,8,184,winter,Cardiovascular,stable,4,30.38,22.91,9
Store A,Aspirin_75mg,2024-01-23,25,4,23,summer,Cardiovascular,stable,4,30.38,22.91,9
Store A,Aspirin_75mg,2024-01-26,44,13,138,winter,Cardiovascular,increasing,4,30.38,22.91,9
Store A,Aspirin_75mg,2024-02-08,20,13,19,summer,Cardiovascular,increasing,4,30.38,22.91,9
Store A,Aspirin_75mg,2024-02-21,44,8,186,winter,Cardiovascular,stable,4,30.38,22.91,9
Store A,Atorvastatin_20mg,2024-01-01,185,27,13,summer,Cardiovascular,stable,5,22.30,24.10,9
Store A,Atorvastatin_20mg,2024-01-06,67,24,137,winter,Cardiovascular,increasing,5,22.30,24.10,9
Store A,Atorvastatin_20mg,2024-01-11,43,23,27,summer,Cardiovascular,increasing,5,22.30,24.10,9
Store A,Atorvastatin_20mg,2024-02-03,178,28,242,winter,Cardiovascular,stable,5,22.30,24.10,9
Store A,Atorvastatin_20mg,2024-01-25,423,35,209,summer,Cardiovascular,stable,5,22.30,24.10,9
Store A,Azithromycin_250mg,2024-01-07,111,34,85,winter,Antibiotic,increasing,5,18.67,15.06,9
Store A,Azithromycin_250mg,2024-01-12,60,35,24,summer,Antibiotic,increasing,5,18.67,15.06,9
Store A,Azithromycin_250mg,2024-01-21,308,44,107,winter,Antibiotic,stable,5,18.67,15.06,9
Store A,Azithromycin_250mg,2024-01-31,583,41,262,summer,Antibiotic,decreasing,5,18.67,15.06,9
Store A,Azithromycin_250mg,2024-02-08,432,51,15,winter,Antibiotic,stable,5,18.67,15.06,9
Store A,Amoxicillin_500mg,2024-01-29,22,13,22,summer,Antibiotic,increasing,5,21.19,14.67,9
Store A,Amoxicillin_500mg,2024-02-06,90,16,122,winter,Antibiotic,stable,5,21.19,14.67,9
Store A,Amoxicillin_500mg,2024-02-14,332,22,182,summer,Antibiotic,decreasing,5,21.19,14.67,9
Store A,Amoxicillin_500mg,2024-03-02,194,20,20,winter,Antibiotic,stable,5,21.19,14.67,9
Store A,Amoxicillin_500mg,2024-03-05,56,17,137,summer,Antibiotic,increasing,5,21.19,14.67,9
Store A,Insulin_100units,2024-01-25,55,10,250,winter,Diabetes,stable,2,29.29,23.76,9
Store A,Insulin_100units,2024-01-31,123,8,234,summer,Diabetes,decreasing,2,29.29,23.76,9
Store A,Insulin_100units,2024-02-04,50,6,19,winter,Diabetes,stable,2,29.29,23.76,9
Store A,Insulin_100units,2024-02-24,20,6,97,summer,Diabetes,increasing,2,29.29,23.76,9
Store A,Insulin_100units,2024-03-05,18,9,42,winter,Diabetes,stable,2,29.29,23.76,9
Store A,Metformin_500mg,2024-01-24,97,8,251,summer,Diabetes,stable,5,33.04,23.75,9
Store A,Metformin_500mg,2024-02-04,109,12,24,winter,Diabetes,stable,5,33.04,23.75,9
Store A,Metformin_500mg,2024-02-07,54,17,80,summer,Diabetes,increasing,5,33.04,23.75,9
Store A,Metformin_500mg,2024-02-11,22,14,19,winter,Diabetes,increasing,5,33.04,23.75,9
Store A,Metformin_500mg,2024-02-25,91,20,101,summer,Diabetes,stable,5,33.04,23.75,9
Store A,Levothyroxine_50mcg,2024-01-04,125,13,13,winter,Thyroid,stable,5,11.45,17.23,9
Store A,Levothyroxine_50mcg,2024-01-12,55,14,139,summer,Thyroid,increasing,5,11.45,17.23,9
Store A,Levothyroxine_50mcg,2024-01-16,28,13,59,winter,Thyroid,stable,5,11.45,17.23,9
Store A,Levothyroxine_50mcg,2024-02-03,152,22,152,summer,Thyroid,stable,5,11.45,17.23,9
Store A,Levothyroxine_50mcg,2024-02-05,183,17,351,winter,Thyroid,decreasing,5,11.45,17.23,9
Store A,Losartan_50mg,2024-01-29,170,37,107,summer,Cardiovascular,increasing,5,28.98,21.88,9
Store A,Losartan_50mg,2024-02-07,56,44,45,winter,Cardiovascular,stable,5,28.98,21.88,9
Store A,Losartan_50mg,2024-02-14,324,51,117,summer,Cardiovascular,stable,5,28.98,21.88,9
Store A,Losartan_50mg,2024-02-28,735,50,266,winter,Cardiovascular,decreasing,5,28.98,21.88,9
Store A,Losartan_50mg,2024-02-18,391,49,23,summer,Cardiovascular,stable,5,28.98,21.88,9
Store A,Montelukast_10mg,2024-01-07,48,31,43,winter,Respiratory,increasing,5,25.07,16.53,9
Store A,Montelukast_10mg,2024-01-17,197,28,242,summer,Respiratory,stable,5,25.07,16.53,9
Store A,Montelukast_10mg,2024-01-21,480,35,337,winter,Respiratory,decreasing,5,25.07,16.53,9
Store A,Montelukast_10mg,2024-02-09,286,42,22,summer,Respiratory,stable,5,25.07,16.53,9
Store A,Montelukast_10mg,2024-01-31,96,40,126,winter,Respiratory,increasing,5,25.07,16.53,9
Store A,Nitroglycerin_0.4mg,2024-01-13,160,24,196,summer,Emergency,stable,1,50.84,32.86,9
Store A,Nitroglycerin_0.4mg,2024-01-23,487,27,301,winter,Emergency,decreasing,1,50.84,32.86,9
Store A,Nitroglycerin_0.4mg,2024-01-25,172,32,12,summer,Emergency,stable,1,50.84,32.86,9
Store A,Nitroglycerin_0.4mg,2024-01-28,102,32,117,winter,Emergency,increasing,1,50.84,32.86,9
Store A,Nitroglycerin_0.4mg,2024-02-14,45,36,52,summer,Emergency,increasing,1,50.84,32.86,9
Store A,Omeprazole_20mg,2024-01-24,267,16,285,winter,Gastro,decreasing,4,12.90,12.75,9
Store A,Omeprazole_20mg,2024-01-29,135,18,20,summer,Gastro,stable,4,12.90,12.75,9
Store A,Omeprazole_20mg,2024-02-11,44,16,104,winter,Gastro,increasing,4,12.90,12.75,9
Store A,Omeprazole_20mg,2024-02-08,23,22,17,summer,Gastro,stable,4,12.90,12.75,9
Store A,Omeprazole_20mg,2024-02-17,95,18,186,winter,Gastro,stable,4,12.90,12.75,9
Store A,Pantoprazole_40mg,2024-01-23,269,43,15,summer,Gastro,stable,4,11.65,11.39,9
Store A,Pantoprazole_40mg,2024-01-29,176,44,60,winter,Gastro,increasing,4,11.65,11.39,9
Store A,Pantoprazole_40mg,2024-02-10,97,49,13,summer,Gastro,stable,4,11.65,11.39,9
Store A,Pantoprazole_40mg,2024-02-07,317,54,137,winter,Gastro,stable,4,11.65,11.39,9
Store A,Pantoprazole_40mg,2024-03-07,858,51,202,summer,Gastro,stable,4,11.65,11.39,9
Store A,Paracetamol_500mg,2024-02-05,35,13,132,winter,Pain Relief,increasing,3,12.97,13.62,9
Store A,Paracetamol_500mg,2024-02-11,28,18,16,summer,Pain Relief,stable,3,12.97,13.62,9
Store A,Paracetamol_500mg,2024-02-27,114,19,82,winter,Pain Relief,stable,3,12.97,13.62,9
Store A,Paracetamol_500mg,2024-03-06,337,21,245,summer,Pain Relief,decreasing,3,12.97,13.62,9
Store A,Paracetamol_500mg,2024-03-16,192,25,21,winter,Pain Relief,stable,3,12.97,13.62,9
Store A,Ibuprofen_400mg,2024-02-02,17,9,63,summer,Pain Relief,increasing,3,15.35,14.27,9
Store A,Ibuprofen_400mg,2024-02-08,62,14,205,winter,Pain Relief,stable,3,15.35,14.27,9
Store A,Ibuprofen_400mg,2024-02-16,152,14,230,summer,Pain Relief,decreasing,3,15.35,14.27,9
Store A,Ibuprofen_400mg,2024-02-17,153,17,13,winter,Pain Relief,stable,3,15.35,14.27,9
Store A,Ibuprofen_400mg,2024-02-22,43,12,120,summer,Pain Relief,increasing,3,15.35,14.27,9
Store A,Cetirizine_10mg,2024-01-16,121,29,123,winter,Allergy,stable,3,14.44,13.74,9
Store A,Cetirizine_10mg,2024-01-26,300,26,175,summer,Allergy,stable,3,14.44,13.74,9
Store A,Cetirizine_10mg,2024-02-03,188,28,14,winter,Allergy,stable,3,14.44,13.74,9
Store A,Cetirizine_10mg,2024-02-18,139,31,53,summer,Allergy,increasing,3,14.44,13.74,9
Store A,Cetirizine_10mg,2024-02-25,76,37,13,winter,Allergy,increasing,3,14.44,13.74,9
Store A,Gabapentin_300mg,2024-02-05,168,10,338,summer,Neurological,stable,6,29.27,24.40,9
Store A,Gabapentin_300mg,2024-02-16,59,10,7,winter,Neurological,stable,6,29.27,24.40,9
Store A,Gabapentin_300mg,2024-02-19,23,9,66,summer,Neurological,increasing,6,29.27,24.40,9
Store A,Gabapentin_300mg,2024-03-09,16,12,18,winter,Neurological,increasing,6,29.27,24.40,9
Store A,Gabapentin_300mg,2024-03-04,47,7,248,summer,Neurological,stable,6,29.27,24.40,9
Store A,Sertraline_50mg,2024-02-05,190,35,9,winter,Psychiatric,stable,5,40.29,30.23,9
Store A,Sertraline_50mg,2024-02-12,146,34,127,summer,Psychiatric,increasing,5,40.29,30.23,9
Store A,Sertraline_50mg,2024-02-27,68,38,24,winter,Psychiatric,increasing,5,40.29,30.23,9
Store A,Sertraline_50mg,2024-03-03,324,49,214,summer,Psychiatric,stable,5,40.29,30.23,9
Store A,Sertraline_50mg,2024-03-12,626,49,344,winter,Psychiatric,decreasing,5,40.29,30.23,9
Store A,Warfarin_5mg,2024-01-25,56,15,110,summer,Cardiovascular,increasing,7,30.80,19.22,9
Store A,Warfarin_5mg,2024-02-02,42,18,14,winter,Cardiovascular,increasing,7,30.80,19.22,9
Store A,Warfarin_5mg,2024-02-06,129,17,205,summer,Cardiovascular,stable,7,30.80,19.22,9
Store A,Warfarin_5mg,2024-02-12,347,25,244,winter,Cardiovascular,decreasing,7,30.80,19.22,9
Store A,Warfarin_5mg,2024-02-18,205,22,11,summer,Cardiovascular,stable,7,30.80,19.22,9
Store B,Albuterol_100mcg,2024-01-04,50,48,39,summer,Respiratory,increasing,2,26.64,22.70,16
Store B,Albuterol_100mcg,2024-01-14,352,49,258,winter,Respiratory,stable,2,26.64,22.70,16
Store B,Albuterol_100mcg,2024-01-22,956,56,336,summer,Respiratory,stable,2,26.64,22.70,16
Store B,Albuterol_100mcg,2024-01-25,400,54,11,winter,Respiratory,stable,2,26.64,22.70,16
Store B,Albuterol_100mcg,2024-02-05,159,63,115,summer,Respiratory,increasing,2,26.64,22.70,16
Store B,Amlodipine_5mg,2024-01-11,348,46,254,winter,Cardiovascular,stable,5,29.34,21.55,16
Store B,Amlodipine_5mg,2024-01-22,645,44,293,summer,Cardiovascular,decreasing,5,29.34,21.55,16
Store B,Amlodipine_5mg,2024-01-31,384,48,20,winter,Cardiovascular,stable,5,29.34,21.55,16
Store B,Amlodipine_5mg,2024-01-26,139,49,48,summer,Cardiovascular,increasing,5,29.34,21.55,16
Store B,Amlodipine_5mg,2024-02-04,56,52,10,winter,Cardiovascular,increasing,5,29.34,21.55,16
Store B,Aspirin_75mg,2024-01-06,266,19,297,summer,Cardiovascular,decreasing,4,30.38,22.91,16
Store B,Aspirin_75mg,2024-01-16,123,16,23,winter,Cardiovascular,stable,4,30.38,22.91,16
Store B,Aspirin_75mg,2024-01-20,51,16,104,summer,Cardiovascular,increasing,4,30.38,22.91,16
Store B,Aspirin_75mg,2024-01-21,42,23,40,winter,Cardiovascular,stable,4,30.38,22.91,16
Store B,Aspirin_75mg,2024-02-07,154,22,171,summer,Cardiovascular,stable,4,30.38,22.91,16
Store B,Atorvastatin_20mg,2024-02-05,374,44,15,winter,Cardiovascular,stable,5,22.30,24.10,16
